Unnamed: 0,Betting,Casinos,"Remote betting, bingo and casino gambling**",Bingo,Arcades,Lotteries (remote and non-remote)
Apr 18 - Mar 19,3253.39,1059.23,5321.11,677.04,429.65,541.58
Apr 17 - Mar 18,3253.64,1180.58,5355.33,680.11,422.12,508.11
Apr 16 - Mar 17,3310.84,1163.54,4775.18,684.28,424.93,442.43
Apr 15 - Mar 16,3318.19,998.38,4230.76,693.11,418.06,379.77
Apr 14 - Mar 15,3266.91,1159.79,1485.47,679.02,387.22,349.74
Apr 13 - Mar 14,3176.77,1111.06,1134.66,673.44,379.11,293.79
Apr 12 - Mar 13,3198.6,961.41,932.61,700.9,358.71,273.0
Apr 11 - Mar 12,3029.59,872.8,710.19,680.64,381.06,228.61
Apr 10 - Mar 11,2957.32,797.43,653.06,625.58,392.0,170.12
Apr 09 - Mar 10,2811.36,751.13,632.22,627.22,455.96,158.55
