Unnamed: 0,Asia Pacific (other),China,Japan
Jan '14,14.86,-,2.86
Feb '14,14.96,-,2.84
Mar '14,15.18,-,2.81
Apr '14,15.43,-,2.84
May '14,15.76,-,2.72
Jun '14,16.02,-,2.94
Jul '14,16.38,-,2.99
Aug '14,16.57,-,3.07
Sep '14,16.93,-,3.03
Oct '14,17.05,-,3.01
Nov '14,17.12,-,2.93
Dec '14,16.59,-,2.8
Jan '15,16.47,-,2.62
Feb '15,8.33,7.75,2.55
Mar '15,8.58,7.83,2.54
Apr '15,8.78,7.78,2.54
May '15,9.0,8.08,2.54
Jun '15,8.94,8.13,2.57
Jul '15,8.71,8.17,2.63
Aug '15,8.57,8.23,2.67
Sep '15,8.58,8.45,2.69
Oct '15,8.72,8.58,2.7
Nov '15,8.53,8.67,2.68
Dec '15,8.08,8.45,2.57
Jan '16,7.85,8.42,2.49
Feb '16,7.83,8.02,2.47
Mar '16,8.02,7.94,2.59
Apr '16,8.03,7.8,2.6
May '16,8.0,8.09,2.56
Jun '16,7.97,8.29,2.53
Jul '16,8.12,8.56,2.6
Aug '16,8.37,8.99,2.74
Sep '16,8.73,9.47,2.8
Oct '16,8.88,9.78,2.89
Nov '16,8.94,10.04,2.88
Dec '16,8.86,10.17,2.8
Jan '17,8.72,10.15,2.79
Feb '17,8.77,10.05,2.77
Mar '17,8.06,10.08,2.87
Apr '17,9.23,10.15,2.89
May '17,9.39,10.23,2.96
Jun '17,9.5,10.41,2.98
Jul '17,9.77,10.69,3.04
Aug '17,9.98,11.08,3.13
Sep '17,10.17,11.36,3.14
Oct '17,10.33,11.65,3.2
Nov '17,10.39,11.9,3.21
Dec '17,10.41,12.01,3.24
Jan '18,10.35,12.01,3.21
Feb '18,10.19,11.7,3.18
Mar '18,10.22,11.95,3.19
Apr '18,10.13,12.38,3.3
May '18,10.28,13.16,3.38
Jun '18,10.32,13.59,3.39
Jul '18,10.32,13.82,3.39
Aug '18,10.46,14.11,3.39
Oct '18,10.53,14.42,3.36
Nov '18,10.84,13.97,3.39
Dec '18,10.33,12.71,3.32
Jan '19,9.96,11.63,3.16
Feb '19,9.45,10.72,2.99
Mar '19,9.26,10.86,2.86
