Unnamed: 0,Payments and other fees revenue,Advertising revenue
Q1'19,41,2670
Q4'18,64,2742
Q3'18,16,2406
Q2'18,19,2297
Q1´18,11,2080
Q4'17,11,2048
Q3'17,11,1749
Q2'17,11,1558
Q1'17,14,1361
Q4'16,12,1337
Q3'16,17,1137
Q2'16,16,1009
Q1'16,13,849
Q4'15,15,833
Q3'15,15,694
Q2'15,18,605
Q1'15,18,524
Q4'14,23,531
Q3'14,23,469
Q2'14,23,408
Q1'14,21,333
Q4'13,23,318
Q3'13,23,255
Q2'13,22,225
Q1'13,21,176
Q4'12,30,168
Q3'12,21,133
Q2'12,20,115
Q1'12,19,99
Q4'11,20,95
Q3'11,16,88
Q2'11,8,74
Q1'11,6,56
Q4'10,5,52
Q3'10,1,36
Q2'10,0,31
Q1'10,0,22
