Unnamed: 0,Total employee jobs**,Male employee jobs**,Female employee jobs**,Total self-employed jobs,Male self-employed jobs,Female self-employed jobs
Jun 19 (p),175,89,86,40,21,19
Mar 19 (r),171,87,85,42,19,23
Dec 18,182,94,88,33,16,17
Sep 18,173,86,87,29,12,18
Jun 18,169,85,84,31,16,15
Mar 18,171,87,84,38,21,17
Dec 17,170,87,83,44,21,24
Sep 17,169,86,83,45,19,26
Jun 17,166,86,80,41,18,23
Mar 17,168,90,78,36,18,18
Dec 16,173,91,82,38,19,19
Sep 16,171,91,80,40,19,21
Jun 16,176,93,83,40,26,14
Mar 16,179,96,83,49,28,21
Dec 15,179,95,85,48,29,19
Sep 15,180,95,85,47,29,18
Jun 15,168,87,81,40,21,19
Mar 15,169,89,80,40,26,14
Dec 14,157,81,75,37,22,15
Sep 14,158,82,76,30,18,12
Jun 14,162,84,78,35,18,17
Mar 14,162,84,79,33,16,16
Dec 13,171,82,89,32,19,13
Sep 13,175,83,92,34,18,16
Jun 13,161,77,85,29,18,11
Mar 13,160,81,80,26,16,11
Dec 12,162,89,73,32,19,13
Sep 12,163,86,77,32,20,12
Jun 12,166,84,82,36,23,13
Mar 12,165,83,82,32,16,15
Dec 11,145,70,75,24,14,9
Sep 11,147,72,76,34,19,14
Jun 11,153,74,79,35,15,20
Mar 11,156,77,79,27,12,15
Dec 10,150,73,77,32,19,13
Sep 10,150,74,76,30,19,12
Jun 10,143,70,73,28,19,9
Mar 10,145,76,69,28,17,11
Dec 09,148,76,72,31,16,14
Sep 09,144,73,71,25,13,12
Jun 09,144,71,72,20,10,10
Mar 09,146,72,74,21,10,11
