Unnamed: 0,Immunology,Cardiovascular/Metabolism/Other,Oncology,Central nervous system,Anti-infectives
2012,7.87,4.94,2.63,6.72,3.19
2013,9.19,4.95,3.77,6.67,3.55
2014,10.19,5.58,4.46,6.49,5.6
2015,10.4,6.42,4.7,6.26,3.66
2016,11.97,6.4,5.81,6.08,3.21
2017,12.24,6.29,7.26,5.99,3.15
2018,12.34,7.19,8.96,5.74,3.18
2019,12.49,7.27,988.0,4.93,3.79
2020,12.09,7.1,10.73,4.84,3.95
2021,11.69,7.09,11.78,4.94,4.38
2022,11.14,6.93,12.71,5.05,5.02
2023,10.24,6.8,13.91,4.68,5.45
2024,9.34,6.79,14.86,5.03,5.94
