Unnamed: 0,Number of fires,Number of acres burned
Alabama,1107,22158
Alaska,720,2498159
Arizona,1869,384942
Arkansas,660,8602
California,8194,259148
Colorado,857,40392
Connecticut,88,72
Delaware,0,0
Florida,2121,122500
Georgia,3158,12407
Hawaii,155,10710
Idaho,960,284026
Illinois,2,41
Indiana,38,523
Iowa,153,2020
Kansas,19,21167
Kentucky,755,11714
Louisiana,361,3059
Maine,355,142
Maryland,140,1498
Massachusetts,289,248
Michigan,361,1128
Minnesota,1021,5862
Mississippi,959,5473
Missouri,67,5091
Montana,1474,64835
Nebraska,15,9478
Nevada,562,82282
New Hampshire,16,25
New Jersey,727,11346
New Mexico,859,79887
New York,79,221
North Carolina,3872,14548
North Dakota,488,4454
Ohio,498,1038
Oklahoma,1104,67142
Oregon,2293,79732
Pennsylvania,547,691
Rhode Island,45,33
South Carolina,992,5939
South Dakota,346,2261
Tennessee,571,5478
Texas,6892,215493
Utah,1025,92380
Vermont,19,22
Virginia,364,2643
Washington,1394,169742
West Virginia,593,7653
Wisconsin,710,1198
Wyoming,486,41857
