Unnamed: 0,Fatalities,Injured,Total
"El Paso Walmart mass shooting (El Paso, Texas, 2019)",22,26,48
"United States Postal Service shooting (Edmond, Oklahoma, 1986)",15,6,21
"San Bernardino mass shooting (San Bernardino, California, 2015)",14,21,35
"Virginia Beach municipal building shooting (Virginia Beach, Virginia, 2019)",12,4,16
"Atlanta day trading spree killings (Atlanta, Georgia, 1999)",9,13,22
"Standard Gravure shooting (Louisville, Kentucky, 1989)",9,12,21
"Hartford Beer Distributor shooting (Manchester, Connecticut, 2010)",9,2,11
"Goleta postal shootings (Goleta, California, 2006)",8,0,8
"Accent Signage Systems shooting (Minneapolis, Minnesota, 2012)",7,1,8
"Lockheed Martin shooting (Meridian, Mississippi, 2003)",7,8,15
"ESL shooting (Sunnyvale, California, 1988)",7,4,11
"Wakefield massacre (Wakefield, Massachusetts, 2000)",7,0,7
"Xerox killings (Honolulu, Hawaii, 1999)",7,0,7
"Atlantis Plastics shooting (Henderson, Kentucky, 2008)",6,1,7
"Walter Rossler Company massacre (Corpus Christi, Texas, 1995)",6,0,6
"Fort Lauderdale revenge shooting (Fort Lauderdale, Florida, 1996)",6,1,7
"T&T Trucking shooting (Bakersfield, California, 2018)",5,0,5
"Capital Gazette shooting (Annapolis, Maryland, 2018)",5,2,7
"Hotel shooting (Tampa, Florida, 1999)",5,3,8
"Florida awning manufacturer shooting (Orlando, Florida, 2017)",5,0,5
"SunTrust bank shooting  (Sebring, Florida, 2019",5,0,5
"Caltrans maintenance yard shooting (Orange, California, 1997)",5,2,7
"Harry Pratt Co. warehouse shooting  (Aurora, Illinois, 2019)",5,6,11
"Royal Oak postal shootings (Royal Oak, Michigan, 1991)",5,5,10
"Molson Coors shooting (Milwaukee, Wisconsin, 2020)",5,0,5
"Navistar shooting (Melrose Park, Illinois, 2001)",5,4,9
"Connecticut Lottery shooting (Newington, Connecticut, 1998)",5,1,6
"R.E. Phelon Company shooting (Aiken, South Carolina, 1997)",4,3,7
"Chuck E. Cheese's killings (Aurora, Colorado, 1993)",4,1,5
"Rite Aid warehouse shooting (Perryman, Maryland, 2018)",3,3,6
"Rural Ohio nursing home shooting  (Kirkersville, Ohio, 2017)",3,0,3
"Planned Parenthood clinic  (Colorado Springs, Colorado, 2015)",3,9,12
"Edgewood businees park shooting (Edgewood, Maryland, 2017)",3,3,6
"Fifth Third Center shooting  (Cincinnati, Ohio, 2018)",3,2,5
"Excel Industries mass shooting (Hesston, Kansas, 2016)",3,14,17
"Mercy Hospital shooting (Chicago, Illinois, (2018)",3,0,3
"Yountville veterans home shooting (Yountville, California, 2018)",3,0,3
"Pennsylvania supermarket shooting  (Tunkhannock, Pennsylvania, 2017)",3,0,3
"San Francisco UPS shooting  (San Francisco, California, 2017)",3,2,5
