Unnamed: 0,Optometrists,Opticians
Spain,100%,-
Norway,100%,-
Finland,100%,-
Sweden,100%,-
Estonia,90%,10%
Denmark,90%,10%
Ireland,82%,18%
Latvia,71%,29%
Romania,71%,29%
United Kingdom,69%,31%
Greece,67%,33%
Germany,45%,55%
Portugal,40%,60%
Czech Republic,38%,62%
Austria,37%,63%
Slovakia,32%,68%
Hungary,28%,72%
Switzerland,27%,73%
Poland,25%,75%
Netherlands,22%,78%
Croatia,19%,81%
Cyprus,15%,85%
Italy,14%,86%
Belgium,10%,90%
Serbia,9%,91%
France,8%,92%
Bulgaria,6%,94%
Slovenia,5%,95%
Ukraine,0%,100%
