Unnamed: 0,Hells Angels Charter,Bandidos Chapter
United States,77,104
Germany,49,73
Canada,35,-
Great Britain**,20,-
Netherlands,17,-
Australia,15,33
Sweden,13,11
Brazil,11,-
Spain,10,1
Denmark,9,19
Italy,9,9
France,8,11
Norway,8,7
Switzerland,7,-
South Africa,7,-
Austria,6,-
Belgium,5,2
Portugal,5,-
Finland,4,8
Argentina,3,-
Chile,3,-
Greece,3,-
New Zealand,3,-
Czech Republic,3,-
Turkey,3,-
Luxembourg,2,-
Poland,2,-
Hungary,2,-
Thailand,1,9
Iceland,1,-
Croatia,1,-
Liechtenstein,1,-
Malta,1,-
Russia,1,-
Indonesia,-,4
Ukraine,-,3
Channel Islands,-,2
Bosnia*,-,1
Costa Rica,-,1
Estonia,-,1
Malaysia,-,1
Romania,-,1
Serbia,-,1
Singapore,-,1
