Unnamed: 0,Total,Contract,Prepaid
Q1 18/19,17.1,22.7,3.9
Q4 17/18,17.5,23.4,3.8
Q3 17/18,17.9,23.9,4.1
Q2 17/18,18.5,24.6,4.6
Q1 17/18,18.2,24.6,4.0
Q4 16/17,18.2,24.7,4.0
Q3 16/17,18.5,25.0,4.3
Q2 16/17,18.9,25.7,4.5
Q1 16/17,18.5,25.4,4.1
Q4 15/16,18.6,25.9,4.1
Q3 15/16,18.8,26.1,4.6
Q2 15/16,18.8,26.4,4.3
Q1 15/16,18.8,26.6,4.0
Q4 14/15,17.4,26.7,3.4
Q3 14/15,17.8,27.4,3.6
Q2 14/15,17.9,27.3,3.8
Q1 14/15,17.6,26.7,3.9
Q4 13/14,17.4,26.6,4.0
Q3 13/14,17.8,27.5,4.2
Q2 13/14,18.3,28.3,4.3
Q1 13/14,18.2,28.2,4.4
