Unnamed: 0,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or more races
2018,250.14,43.8,4.15,19.33,0.8,8.95
2017,249.62,43.5,4.1,18.99,0.79,8.72
2016,248.5,43.0,4.05,18.32,0.77,8.48
2015,247.78,42.63,4.01,17.98,0.76,8.25
2014,246.66,42.16,3.96,17.34,0.74,8.0
2013,245.59,41.71,3.91,16.8,0.73,7.75
2012,244.51,41.26,3.86,16.26,0.71,7.51
2011,243.38,40.81,3.8,15.76,0.69,7.28
2010,242.24,40.35,3.75,15.26,0.68,7.04
2009,241.03,39.9,3.64,14.83,0.66,6.71
2008,239.78,39.43,3.5,14.4,0.64,6.35
2007,238.38,38.94,3.38,13.93,0.61,5.99
2006,236.95,38.44,3.26,13.48,0.59,5.66
2005,235.49,37.96,3.15,13.01,0.57,5.34
2004,234.12,37.51,3.04,12.54,0.55,5.04
2003,232.72,37.07,2.95,12.1,0.53,4.75
2002,231.45,36.68,2.86,11.65,0.51,4.48
2001,230.05,36.26,2.77,11.18,0.49,4.22
2000,228.53,35.81,2.68,10.71,0.47,3.96
