Company,2010,2011,2012,2013,2014,2015,2016,2017
Givaudan,4074.6,4433.4,4541.8,4715.9,4818.5,4575.5,4734.1,5132.8
Firmenich*,2673.7,2985,3083.3,3186.4,3375.2,3330.7,3411.3,3668.4
IFF,2622.9,2788,2821.4,2952.9,3088.5,3023.2,3116.4,3398.7
Symrise,2086.5,2205.5,2230.6,2431.6,2818.0,2279.3,2312.3,3398.7
Mane SA,637.3,738.3,820.8,960.7,1022.1,1051.6,1170.7,1306.1
Frutarom,451.1,518.4,618.0,673.7,819.5,872.8,1067.5,1271.4
Takasago*,1310.9,1425.4,1491.1,1345.0,1247.1,1170.5,1260.6,1226.3
Sensient Flavors,582.6,619.7,715.2,736.1,724.7,667.9,653.8,618.8
Robertet SA,480.8,483.7,508.6,517.4,518.4,483.1,517.9,570.0
Hasegawa,-,-,556.3,462.9,425.5,390.2,438.6,438.6
