Year,High school graduate or more,College graduate or more
2018,89.8%,35%
2017,89.6%,34.2%
2016,89.1%,33.4%
2015,88.4%,32.5%
2014,88.3%,32%
2013,88.2%,31.7%
2012,87.6%,30.9%
2011,87.6%,30.4%
2010,87.1%,29.9%
2009,86.7%,29.5%
2008,86.6%,29.4%
2007,85.7%,28.7%
2006,85.5%,28%
2005,85.2%,27.7%
2004,85.2%,27.7%
2003,84.6%,27.2%
2002,84.1%,26.7%
2001,84.1%,26.2%
2000,84.1%,25.6%
1999,83.4%,25.2%
1998,82.8%,24.4%
1997,82.1%,23.9%
1996,81.7%,23.6%
1995,81.7%,23%
1994,80.9%,22.2%
1993,80.2%,21.9%
1992,79.4%,21.4%
1991,78.4%,21.4%
1990,77.6%,21.3%
1985,73.9%,19.4%
1980,66.5%,16.2%
1975,62.5%,13.9%
1970,52.3%,10.7%
1965,49%,9.4%
1960,41.1%,7.7%
