Unnamed: 0,Standing places,Most expensive seats
FSV Mainz 05,179€,950€
SC Freiburg,195€,865€
Eintracht Frankfurt,184€,827€
1. FC Köln,165€,785€
Schalke 04,"1,905€",776€
Bayern München,145€,765€
Borussia Dortmund,219€,759€
Fortuna Düsseldorf,195€,759€
Hertha BSC,199€,749€
RB Leipzig,180€,740€
SC Paderborn 07,225€,735€
Werder Bremen,195€,730€
1. FC Union Berlin,187€,680€
Borussia Mönchengladbach,190€,675€
FC Augsburg,199€,629€
Bayer Leverkusen,190€,595€
1899 Hoffenheim,150€,584€
VFL Wolfsburg,145€,440€
