Unnamed: 0,16-24,25-29,30-34,35-44,45 and over
'19,8.4%,4.1%,3.3%,2.7%,2.7%
'18,8.6%,4.3%,3.5%,3%,2.9%
'17,9.2%,4.9%,4.2%,3.5%,3.2%
'16,10.4%,5.6%,4.5%,3.8%,3.6%
'15,11.6%,6%,4.9%,4.1%,3.7%
'14,13.4%,7.2%,5.9%,4.7%,4.4%
'13,15.5%,8.1%,6.7%,5.9%,5.5%
'12,16.2%,8.9%,7.6%,6.6%,6.1%
'11,17.3%,10.3%,8.6%,7.3%,6.8%
'10,18.4%,10.9%,9.2%,8.1%,7.4%
'09,17.6%,10.6%,9%,7.9%,6.9%
'08,12.8%,6.5%,5.2%,4.6%,4%
'07,10.5%,5.2%,4.1%,3.4%,3.2%
'06,10.5%,5.1%,4.2%,3.6%,3%
'05,11.3%,5.8%,4.5%,3.9%,3.4%
'04,11.8%,6.1%,5%,4.4%,3.8%
'03,12.4%,6.6%,5.5%,4.9%,4.1%
'02,12%,6.4%,5.4%,4.6%,4%
'01,10.6%,4.9%,4.3%,3.6%,3.1%
'00,9.3%,4.1%,3.3%,3%,2.5%
'99,9.9%,4.4%,3.6%,3%,2.6%
'98,10.4%,4.7%,4%,3.4%,2.7%
'97,11.3%,5.3%,4.2%,3.8%,3%
'96,12%,5.8%,4.7%,4.1%,3.4%
'95,12.1%,5.8%,5.1%,4.3%,3.5%
'94,12.5%,6.6%,5.5%,4.6%,4%
'93,13.4%,7.5%,6.4%,5.5%,4.6%
'92,14.2%,8.2%,7.2%,5.8%,5%
'91,13.4%,7.4%,6.4%,5.2%,4.3%
'90,11.2%,6%,5.1%,4.1%,3.4%
