Unnamed: 0,2015,2016,2017,2018,2019*
China,780,780,625,693.0,700.0
Brazil,80,80,90,95.0,96.0
Madagascar,5,8,9,46.9,47.0
Canada,30,21,40,40.0,40.0
India,170,170,35,35.0,35.0
Russia,15,15,17,25.2,25.0
Ukraine,5,5,20,20.0,20.0
Norway,8,8,15.5,16.0,16.0
Pakistan,-,14,14,14.0,14.0
Mexico,22,22,9,9.0,9.0
North Korea,30,30,5.5,6.0,6.0
Vietnam,-,5,5,5.0,5.0
Sri Lanka,4,4,3.5,4.0,4.0
Namibia**,-,-,-,3.46,3.5
Turkey,32,32,2.3,2.0,2.0
Zimbabwe,7,7,1.58,2.0,2.0
Germany**,-,-,-,0.8,0.8
Other countries**,1,-,1.9,0.2,0.2
