Unnamed: 0,Prize money,Endorsements
Serena Williams (tennis),4.2,25.0
Naomi Osaka (tennis),8.3,16.0
Angelique Kerber (tennis),5.3,6.5
Simona Halep (tennis),6.2,4.0
Sloane Stephens (tennis),4.1,5.5
Caroline Wozniacki (tennis),3.5,4.0
Maria Sharapova (tennis),1.0,6.0
Karolina Pliskova (tennis),4.6,1.7
Elina Svitolina (tennis),4.6,1.5
Venus Williams (tennis),0.9,5.0
Garbine Muguruza (tennis),2.4,3.5
Alex Morgan (soccer),0.25,5.5
P.V. Sindhu (badminton),0.5,5.0
Madison Keys (tennis),2.5,3.0
Ariya Jutanugarn (golf),3.3,2.0
