Unnamed: 0,Worldwide,Africa,Europe,Latin America,Middle East,Asia - Pacific,North America
2020**,5.5%,1.1%,5.3%,3.7%,-4.2%,4.7%,9.1%
2019*,5.1%,1%,4.7%,3.6%,-5.2%,3.5%,9.6%
2018,5.7%,1.5%,6.2%,2.7%,-4.6%,4.7%,9.1%
2017,7.5%,0.8%,7.9%,6.2%,-3%,6.3%,11.2%
2016,8.5%,1.1%,6.1%,5.6%,2.2%,7.4%,13.7%
2015,8.6%,-2.1%,5.5%,5%,6.3%,6.9%,14.4%
2014,4.6%,-2.7%,3.1%,5%,3%,2.4%,9.1%
2013,3.5%,-0.5%,2%,2.2%,0.9%,2.9%,6.8%
2012,2.6%,-0.4%,0.7%,1.5%,3%,4.7%,3.4%
2011,3.1%,0.6%,0.8%,2%,3.1%,6.6%,3%
2010,4.9%,1.7%,2.4%,5.1%,3.7%,8%,5.7%
