Game (network) (week),Rating,Viewers (in millions)
Rams vs. 49ers (ESPN) (week 1),6.2,10.3
Steelers vs. Redskins (ESPN) (week 1),7.7,13.0
Packers vs. Jaguars (FOX) (week 1),9.2,15.8
Regional action (CBS) (week 1),9.3,16.0
Patriots vs. Cardinals (NBC) (week 1),13.1,23.1
Panthers vs. Broncos (NBC) (week 1),14.6,25.2
Giants vs. Cowboys (FOX) (week 1),15.5,27.5
Eagles vs. Bears (ESPN) (week 2),7.3,12.1
Regional action (CBS) (week 2),8.5,14.4
"Jets vs. Bills (CBS, NFLN) (week 2)",9.5,15.4
Cowboys vs. Redskins (FOX) (week 2),11.0,19.2
Colts vs. Broncos (CBS) (week 2),12.2,21.4
Packers vs. Vikings (NBC) (week 2),12.7,22.8
Falcons vs. Saints (ESPN (week 3)*,4.9,8.0
Regional action (CBS) (week 3),8.0,13.1
"Texans vs. Patriots (CBS, NFLN) (week 3)",10.6,17.5
Redskins vs. Giants (FOX) (week 3),11.1,19.2
Bears vs. Cowboys (NBC) (week 3),11.7,20.6
Steelers vs. Eagles (CBS) (week 3),12.6,22.0
Colts vs. Jaguars - in London (CBS) (week 4),4.8,7.7
Dolphins vs. Bengals (NFLN) (week 4),4.8,7.9
Seahawks vs. Jets (FOX) (week 4),6.7,11.2
Giants vs. Vikings (ESPN) (week 4),8.0,13.2
Regional action (CBS) (week 4),9.4,16.4
Chiefs vs. Steelers (NBC) (week 4),10.3,18.1
Cowboys vs. 49ers (FOX) (week 4),13.1,22.7
Buccaneers vs. Panthers (ESPN) (week 5),5.6,9.1
"Cardinals vs. 49ers (CBS, NFLN) (week 5)",7.4,12.1
Regional action (CBS) (week 5),9.0,15.2
Giants vs. Packers (NBC) (week 5)*,9.3,16.6
Falcons vs. Broncos (FOX) (week 5),9.4,16.5
Bengals vs. Cowboys (CBS) (week 5),12.1,21.3
Jets vs. Cardinals (ESPN) (week 6),5.2,8.4
Eagles vs. Redskins (FOX) (week 6),7.7,13.2
Colts vs. Texans (NBC) (week 6),8.1,13.6
"Broncos vs. Chargers (CBS, NFLN) (week 6)",8.7,14.5
Regional action (CBS) (week 6),10.2,17.2
Cowboys vs. Packers (FOX) (week 6),15.8,28.0
Giants vs. Rams - in London (NFLN) (week 7),2.4,3.7
Texans vs. Broncos (ESPN) (week 7),6.7,11.2
Regional action (CBS) (week 7),7.0,11.3
"Packers vs. Bears (CBS, NFLN) (week 7)",8.6,14.2
Vikings vs. Eagles (FOX) (week 7),10.1,16.9
Seahawks vs. Cardinals (NBC) (week 7),10.2,17.7
Patriots vs. Steelers (CBS) (week 7),12.6,21.7
Jaguars vs. Titans (NFLN) (week 8),3.2,5.1
Redskins vs. Bengals - in London (FOX) (week 8),5.5,8.7
Vikings vs. Bears (ESPN) (week 8),6.4,10.5
Seahawks vs. Saints (FOX) (week 8),7.7,12.8
Regional action (CBS) (week 8),9.5,16.2
Eagles vs. Cowboys (NBC) (week 8),10.2,18.0
Packers vs. Falcons (FOX) (week 8),13.1,22.7
Falcons vs. Buccaneers (NFLN) (week 9),3.6,5.8
Bills vs. Seahawks (ESPN) (week 9),6.9,11.3
Regional action (CBS) (week 9),6.9,11.3
Broncos vs. Raiders (NBC) (week 9),10.4,18.3
Cowboys vs. Browns (FOX) (week 9),11.6,20.2
Colts vs. Packers (CBS) (week 9),11.7,20.2
Cowboys vs. Steelers (FOX) (week 10),16.4,28.9
Patriots vs. Seahawks (NBC) (week 10),12.7,22.5
Falcons vs. Eagles (FOX) (week 10),9.4,15.9
Regional action (CBS) (week 10),7.8,13.2
Ravens vs. Browns (NFLN) (week 10),3.5,5.7
Eagles vs. Seahawks (CBS) (week 11),13.6,24.4
Packers vs. Redskins (NBC) (week 11),10.8,18.7
Ravens vs. Cowboys (CBS) (week 11),10.2,17.6
Bears vs. Giants (FOX) (week 11),8.45,14.3
"Saints vs. Panthers (NBC, NFLN) (week 11)",8.1,13.3
Texans vs. Raiders (ESPN) (week 11),6.9,11.8
Redskins vs. Cowboys (FOX) (week 12),14.5,35.1
Vikings vs. Lions (CBS) (week 12),13.0,27.6
Colts vs. Steelers (NBC) (week 12),10.1,20.9
Chiefs vs. Broncos (NBC) (week 12),10.7,18.4
Seahawks vs. Buccaneers (FOX) (week 12),9.8,13.1
Packers vs. Eagles (ESPN) (week 12),7.8,13.1
Regional action (CBS) (week 12),7.6,12.8
Giants vs. Steelers (FOX) (week 13),14.6,25.4
"Cowboys vs. Vikings (NBC, NFLN) (week 13)",12.8,21.8
Regional action (CBS) (week 13),10.8,18.5
Panthers vs. Seahawks (NBC) (week 13),10.2,17.8
Lions vs. Saints (FOX) (week 13),7.3,12.2
Colts vs. Jets (ESPN) (week 13),5.0,8.1
Cowboys vs. Giants (NBC) (week 14),14.9,26.5
Seahawks vs. Packers (FOX) (week 14),14.4,25.3
Regional action (CBS) (week 14),11.2,19.1
"Raiders vs. Chiefs (NBC, NFLN) (week 14)",10.5,17.4
Ravens vs. Patriots (ESPN) (week 14),7.8,12.9
Redskins vs. Eagles (FOX) (week 14),7.5,12.3
Patriots vs. Broncos (CBS) (week 15),14.25,25.0
Buccaneers vs. Cowboys (NBC) (week 15),13.6,24.1
Lions vs. Giants (FOX) (week 15),10.8,18.7
Regional action (CBS) (week 15),8.8,15.0
"Rams vs. Seahawks (NBC, NFLN) (week 15)",8.8,14.7
Panthers vs. Redskins (ESPN) (week 15),6.8,11.2
Jets vs. Dolphins (NFLN) (week 15),2.5,4.4
Chiefs vs. Broncos (NBC) (week 16),10.6,21.4
Lions vs. Cowboys (ESPN) (week 16),10.1,18.6
Packers vs. Vikings (FOX) (week 16),10.0,18.4
"Giants vs. Eagles (NBC, NFLN) (week 16)",10.6,17.9
Buccaneers vs. Saints (FOX) (week 16),8.1,15.4
Steelers vs. Ravens (NFLN) (week 16),6.5,14.8
Regional action (CBS) (week 16),7.7,14.2
Bengals vs. Texans (NFLN) (week 16),3.2,6.3
Packers vs. Lions (NBC) (week 17),13.0,23.8
Giants vs. Redskins (FOX) (week 17),12.3,22.4
Cowboys vs. Eagles (FOX) (week 17),9.65,17.0
Dolphins vs. Patriots (CBS) (week 17),9.2,16.6
Regional action (CBS) (week 17),6.8,12.1
Giants vs. Packers (FOX) (Wildcard Round),21.3,39.3
Dolphins vs. Steelers (CBS) (Wildcard Round),17.5,29.9
Lions vs. Seahawks (NBC) (Wildcard Round),14.8,26.9
"Raiders vs. Texans (ABC, ESPN) (Wildcard Round)",14.4,25.1
Packers vs. Cowboys (FOX) (Divisional Round),26.1,48.5
Steelers vs. Chiefs (NBC) (Divisional Round),19.8,37.1
Texans vs. Patriots (CBS) (Divisional Round),16.0,29.8
Seahawks vs. Falcons (FOX) (Divisional Round),16.2,28.7
Steelers vs. Patriots (CBS) (Conference Round),24.4,48.0
Packers vs. Falcons (FOX) (Conference Round),25.0,46.3
AFC vs. NFC (ESPN) (Pro Bowl),4.2,7.4
Patriots vs. Falcons (FOX) (Super Bowl),45.3,111.3
