Unnamed: 0,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8
2018,301,21,81,72,64,251
2017,317,19,79,63,62,192
2016,296,14,72,62,60,193
2015,283,14,72,55,59,249
2014,264,13,67,52,54,220
2013,254,12,60,47,48,185
2012,223,9,55,40,47,195
2011,195,10,42,41,41,171
2010,161,12,31,29,38,107
2009,112,20,24,22,39,95
2008,135,36,40,39,49,133
2007,166,51,45,54,70,151
2006,150,50,49,70,91,284
2005,167,49,46,60,89,253
2004,107,47,36,70,75,203
2003,91,40,29,51,67,142
2002,80,38,24,45,69,146
2001,102,52,24,42,92,140
