Unnamed: 0,Gold,Silver,Bronze
Norway,14,14,11
Germany,14,10,7
Canada,11,8,10
United States,9,8,6
Netherlands,8,6,6
South Korea,5,8,4
Olympic Athletes from Russia,2,6,9
Switzerland,5,6,4
France,5,4,6
Sweden,7,6,1
Austria,5,3,6
Japan,4,5,4
Italy,3,2,5
China,1,6,2
Czech Republic,2,2,3
Finland,1,1,4
Great Britain,1,0,4
Belarus,2,1,0
Slovakia,1,2,0
Australia,0,2,1
Poland,1,0,1
Slovenia,0,1,1
Spain,0,0,2
New Zealand,0,0,2
Hungary,1,0,0
Ukraine,1,0,0
Belgium,0,1,0
Kazakhstan,0,0,1
Latvia,0,0,1
Liechtenstein,0,0,1
