Unnamed: 0,Apprentice,Under 18,18-20,21-24,25 and over,21 and over*,18 to 21*,22 and over*
2020,4.15,4.55,6.45,8.2,8.72,-,-,-
2019,3.9,4.35,6.15,7.7,8.21,-,-,-
2018,3.7,4.2,5.9,7.38,7.83,-,-,-
2017,3.5,4.05,5.6,7.05,7.5,-,-,-
2016,3.4,3.87,5.3,6.7,7.2,-,-,-
2015,3.3,3.87,5.3,-,-,6.7,-,-
2014,2.73,3.79,5.13,-,-,6.5,-,-
2013,2.68,3.72,5.03,-,-,6.31,-,-
2012,2.65,3.68,4.98,-,-,6.19,-,-
2011,2.6,3.68,4.98,-,-,6.08,-,-
2010,2.5,3.64,4.92,-,-,5.93,-,-
2009,-,3.57,-,-,-,-,4.83,5.8
2008,-,3.53,-,-,-,-,4.77,5.73
2007,-,3.4,-,-,-,-,4.6,5.52
2006,-,3.3,-,-,-,-,4.45,5.35
2005,-,3,-,-,-,-,4.25,5.05
2004,-,3,-,-,-,-,4.1,4.85
2003,-,-,-,-,-,-,3.8,4.5
2002,-,-,-,-,-,-,3.5,4.2
2001,-,-,-,-,-,-,3.5,4.1
2000,-,-,-,-,-,-,3.2,3.7
1999,-,-,-,-,-,-,3,3.6
