Unnamed: 0,Male,Female
Germany,40514123,41661561
France,32340016,34419934
United Kingdom,32224529,33158027
Italy,29456321,31209230
Spain,22807464,23632635
Ukraine,19717881,22872998
Poland,18377040,19590169
Romania,9649811,10110503
Netherlands,8417135,8561985
Belgium,5569264,5741853
Greece,5224210,5559538
Portugal,4901509,5439821
Czech Republic,5186330,5367513
Hungary,4688519,5141966
Belarus,4420842,5077522
Sweden,4930966,4920051
Austria,4265369,4424707
Switzerland,4121471,4205655
Bulgaria,3477177,3676607
Serbia,3446258,3630114
Denmark,2837887,2869364
Finland,2701490,2785818
Slovakia,2646082,2780170
Ireland,2335733,2388987
Croatia,2022797,2167872
Georgia,1779500,1940900
Armenia,1429042,1569535
Lithuania,1329607,1558951
Albania,1461326,1424700
Latvia,904299,1064658
Slovenia,1023333,1040855
Former Yugoslav Republic of Macedonia,1037601,1033677
Kosovo,883294,888310
Estonia,616708,699236
Cyprus,412692,435627
Montenegro,307734,314484
Luxembourg,289193,287056
Malta,217569,216834
Iceland,167270,165259
Liechtenstein,18660,18962
