Unnamed: 0,16-19,20-24,25-34,35-44,45-54,55-64,65+
Pop Music,52%,54%,56%,46%,42%,25%,19%
Rock Music,28%,39%,44%,42%,48%,31%,17%
Hip Hop/Rap,48%,54%,42%,33%,15%,5%,1%
Indie/Alternative Rock,31%,40%,35%,28%,21%,13%,5%
Classic Rock,26%,36%,44%,46%,62%,60%,48%
Soundtrack,15%,23%,24%,21%,18%,15%,16%
RnB (Rhythm and Blues),23%,22%,22%,22%,21%,15%,16%
Instrumental,22%,23%,20%,13%,13%,17%,16%
Country/Western,19%,26%,37%,31%,38%,38%,40%
Singer/Songwriter,21%,21%,20%,17%,15%,18%,15%
Rock 'n' Roll,28%,30%,40%,42%,49%,40%,41%
Show Music/Musicals,20%,19%,17%,14%,15%,16%,24%
