Unnamed: 0,Tablet,Smartphone
Watching movies/videos online,23%,52%
E-mail,22%,59%
Using social media sites,19%,54%
Reading news,19%,48%
Online shopping,18%,43%
Downloading software/applications,16%,42%
Listening to streaming music/radio,12%,38%
Instant messaging/video calling,12%,43%
Uploading/sharing content,11%,39%
Online banking,11%,36%
Online gaming,11%,28%
Using online payment systems/wallets,10%,30%
Online data storage,10%,29%
Visiting adult websites,6%,17%
Visiting online dating websites/services or apps,6%,18%
Online gambling/betting,5%,10%
Trading securities/shares online,4%,9%
