Unnamed: 0,iPod*,iPhone,iPad
Q4 '18,-,46.89,9.7
Q3 '18,-,41.3,11.55
Q2 '18,-,52.22,9.11
Q1 '18,-,77.32,13.17
Q4 '17,-,46.68,10.33
Q3 '17,-,41.03,11.42
Q2 '17,-,50.76,8.92
Q1 '17,-,78.29,13.08
Q4 '16,-,45.51,9.27
Q3 '16,-,40.4,9.95
Q2 '16,-,51.19,10.25
Q1 '16,-,74.78,16.12
Q4 '15,-,48.05,9.88
Q3 '15,-,47.53,10.93
Q2 '15,-,61.17,12.62
Q1 '15,-,74.47,21.42
Q4 '14,2.64,39.27,12.32
Q3 '14,2.93,35.2,13.28
Q2 '14,2.76,43.72,16.35
Q1 '14,6.05,51.03,26.04
Q4 '13,3.5,33.8,14.08
Q3 '13,4.57,31.24,14.62
Q2 '13,5.63,37.43,19.48
Q1 '13,12.68,47.79,22.86
Q4 '12,5.34,26.91,14.04
Q3 '12,6.75,26.03,17.04
Q2 '12,7.67,35.06,11.8
Q1 '12,15.4,37.04,15.43
Q4 '11,6.62,17.07,11.12
Q3 '11,7.54,20.34,9.25
Q2 '11,9.02,18.65,4.69
Q1 '11,19.45,16.24,7.33
Q4 '10,9.05,14.1,4.19
Q3 '10,9.41,8.4,3.27
Q2 '10,10.89,8.75,-
Q1 '10,20.97,8.74,-
Q4 '09,10.18,7.37,-
Q3 '09,10.22,5.21,-
Q2 '09,11.01,3.79,-
Q1 '09,22.73,4.36,-
Q4 '08,11.05,6.89,-
Q3 '08,11.01,0.72,-
Q2 '08,10.64,1.7,-
Q1 '08,22.12,2.32,-
Q4 '07,10.2,1.12,-
Q3 '07,9.82,0.27,-
Q2 '07,10.55,-,-
Q1 '07,21.07,-,-
Q4 '06,8.73,-,-
Q3 '06,8.11,-,-
Q2 '06,8.53,-,-
Q1 '06,14.04,-,-
