Unnamed: 0,Computer Entertainment System (PS2 / PS3)**,Portable Entertainment System PS TV / PS Vita / PSP),PS4
Q3 '19,-,-,6.1
Q2 '19,-,-,2.8
Q1 '19,-,-,3.2
Q4 '18,-,-,2.6
Q3 '18,-,-,8.1
Q2 '18,-,-,3.9
Q1 '18,-,-,3.2
Q4 '17,-,-,2.5
Q3 '17,-,-,9
Q2 '17,-,-,4.2
Q1 '17,-,-,3.3
Q4 '16,-,-,2.9
Q3 '16,-,-,9.7
Q2 '16,-,-,3.9
Q1 '16,-,-,3.5
Q4 '15,-,-,2.3
Q3 '15,-,-,8.4
Q2 '15,-,-,4
Q1 '15,-,-,3
Q4 '14,0.4,0.45,2.4
Q3 '14,1.1,1.4,6.4
Q2 '14,0.8,0.7,3.3
Q1 '14,0.8,0.75,2.7
Q4 '13,0.7,0.7,3
Q3 '13,3.3,2,4.5
Q2 '13,2,0.8,-
Q1 '13,1.1,0.6,-
Q4 '12,3.4,1.3,-
Q3 '12,6.8,2.7,-
Q2 '12,3.5,1.6,-
Q1 '12,2.8,1.4,-
Q4 '11,2.5,0.9,-
Q3 '11,7.4,2.4,-
Q2 '11,4.9,1.7,-
Q1 '11,3.2,1.8,-
