Unnamed: 0,0-4 years,5-14 years,15-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65-74 years,75-84 years,85-94 years,95 years and older
2019,602,1233,1157,1456,1282,1345,1188,1100,702,240,23
2018,604,1215,1157,1432,1276,1346,1164,1113,662,239,22
2017,602,1193,1162,1396,1270,1340,1151,1117,629,239,22
2016,597,1164,1170,1353,1265,1326,1144,1113,604,238,22
2015,586,1131,1179,1301,1261,1307,1139,1100,589,238,20
2014,584,1098,1199,1265,1254,1293,1141,1078,578,238,18
2013,579,1067,1216,1231,1250,1282,1148,1052,565,237,18
2012,574,1038,1232,1201,1257,1266,1160,1019,557,235,18
2011,567,1017,1243,1180,1272,1247,1172,980,551,236,17
2010,562,1003,1251,1164,1286,1227,1186,937,549,234,17
2009,548,1001,1244,1152,1298,1206,1201,892,550,232,17
