Unnamed: 0,Northeast,Midwest,South,West
2019,5.2%,6.8%,8.2%,4.4%
2018,5.1%,7.1%,8.5%,4.5%
2017,5.5%,7.6%,8.8%,4.5%
2016,5.5%,7.2%,9.2%,4.2%
2015,5.5%,7%,9.2%,4.9%
2014,5.8%,7.5%,9%,4.8%
2013,6.7%,8.6%,10.1%,6.3%
2012,7.5%,9.3%,10.7%,6.5%
2011,7.8%,9.7%,12%,6.6%
2010,7.5%,9.6%,11.5%,7.9%
2009,7.2%,11.2%,13.7%,8.9%
2008,6.3%,10.5%,13.1%,8.4%
2007,6.6%,11.1%,12.3%,6.8%
2006,6.5%,11.9%,12.4%,7%
2005,6.7%,12.3%,11.4%,7%
2004,6.8%,12.4%,12.5%,7.2%
2003,6.9%,11.3%,12.9%,8%
2002,5.6%,10.2%,12.6%,7%
2001,5.4%,10.3%,11.5%,6.6%
2000,5.3%,8.7%,10.8%,5.3%
