Unnamed: 0,Brunei,Cambodia,Indonesia,Laos,Malaysia,Myanmar,Philippines,Singapore,Thailand,Vietnam
2018*,0.44,16.25,264.16,7.06,32.39,52.83,106.6,5.64,67.79,94.58
2017*,0.43,16.01,261.36,6.95,32.02,52.65,104.92,5.61,67.65,93.64
2016,0.42,15.77,258.5,6.85,31.63,52.25,103.24,5.61,67.46,92.69
2015,0.41,15.52,255.59,6.74,31.19,51.85,101.56,5.54,67.24,91.71
2014,0.41,15.27,252.17,6.64,30.71,51.42,99.88,5.47,67.0,90.73
2013,0.4,15.03,248.82,6.54,30.21,50.98,98.19,5.4,66.76,89.76
2012,0.4,14.78,245.43,6.45,29.51,50.54,96.5,5.31,66.49,88.81
2011,0.39,14.61,241.99,6.35,29.06,50.11,94.18,5.18,66.21,87.84
2010,0.39,14.37,237.64,6.25,28.59,49.71,92.6,5.08,65.92,86.93
2009,0.38,14.14,234.3,6.15,28.08,49.33,91.02,4.99,65.54,86.03
2008,0.38,13.94,231.01,6.05,27.6,48.98,89.44,4.84,65.17,85.12
