Unnamed: 0,Coal,Nuclear electric power,Natural gas,Hydroelectric pumped storage,Petroleum,Other gases,Renewables**
2018,1146.39,807.08,1468.01,-5.91,24.57,12.19,712.77
2017,1205.84,804.95,1296.42,-6.5,21.39,12.47,645.46
2016,1239.15,805.69,1378.31,-6.69,24.21,12.81,609.45
2015,1352.4,797.18,1333.48,-5.09,28.25,13.12,544.24
2014,1581.71,797.17,1126.61,-6.17,30.23,12.02,538.58
2013,1581.12,789.02,1124.84,-4.68,27.16,12.85,522.07
2012,1514.04,769.33,1225.89,-4.95,23.19,11.9,494.57
2011,1733.43,790.2,1013.69,-6.42,30.18,11.57,513.34
2010,1847.29,806.97,987.7,-5.5,37.06,11.31,427.38
2005,2012.87,781.99,760.96,-6.56,122.23,13.46,357.65
2000,1966.27,753.89,601.04,-5.54,111.22,13.96,356.48
1995,1709.43,673.4,496.06,-2.73,74.55,13.87,384.8
1990,1594.01,576.86,372.77,-3.51,126.46,10.38,357.24
