Unnamed: 0,Lowest quintile,Second quintile,Third quintile,Fourth quintile,Highest quintile
2018,3.1%,8.3%,14.1%,22.6%,52%
2017,3%,8.1%,14%,22.6%,52.3%
2016,3.1%,8.3%,14.2%,22.9%,51.5%
2015,3.1%,8.2%,14.3%,23.2%,51.1%
2014,3.1%,8.2%,14.3%,23.2%,51.2%
2013,3.2%,8.4%,14.4%,23%,51%
2012,3.2%,8.3%,14.4%,23%,51%
2011,3.2%,8.4%,14.3%,23%,51.1%
2010,3.3%,8.5%,14.6%,23.4%,50.3%
2005,3.4%,8.6%,14.6%,23%,50.4%
2000,3.6%,8.9%,14.8%,23%,49.8%
1995,3.7%,9.1%,15.2%,23.3%,48.7%
1990,3.8%,9.6%,15.9%,24%,46.6%
1985,3.9%,9.8%,16.2%,24.4%,45.6%
1980,4.2%,10.2%,16.8%,24.6%,44.2%
1975,4.3%,10.4%,17%,24.7%,43.6%
1970,4.1%,10.8%,17.4%,24.5%,43.3%
