Unnamed: 0,2008,2018
United States,6783,15311
Saudi Arabia,10655,12287
Russian Federation,9965,11438
Canada,3207,5208
China,3814,3798
Iraq,2428,4614
Iran,4415,4715
United Arab Emirates,3113,3942
Kuwait,2781,3049
Venezuela,3228,1514
Mexico,3165,2068
Brazil,1887,2683
Nigeria,2172,2051
Norway,2458,1844
Qatar,1432,1879
Angola,1876,1534
Kazakhstan,1485,1927
Algeria,1951,1510
Colombia,588,866
United Kingdom,1549,1085
Oman,757,978
India,818,869
Azerbaijan,916,795
Indonesia,1006,808
Egypt,715,670
Malaysia,727,682
Argentina,802,592
Ecuador,507,517
Thailand,368,485
Libya,1875,1010
Australia,538,356
Vietnam,309,275
Equatorial Guinea,369,190
Republic of Congo,237,333
Turkmenistan,208,222
Gabon,240,194
Denmark,287,138
Brunei,175,112
Italy,108,97
Peru,122,154
Trinidad & Tobago,149,87
Sudan,457,100
Romania,99,74
Chad,127,1534
Uzbekistan,102,64
Tunisia,96,50
Yemen,316,68
Syria,406,24
