Unnamed: 0,McDonald's,KFC,Burger King,Taco Bell,Dominos Pizza,Wendy's,Papa John's,Little Caesars,Starbucks,Pizza Hut,Dunkin' donuts,Chick-fil-A,Chipotle Mexican Grill,Panera Bread,Subway,Arby's,Jack in the Box,All limited-service restaurants
2006,63,70,70,70,75,76,79,77,77,76,-,-,-,-,-,-,-,77
2007,64,71,69,69,75,78,77,75,78,72,-,-,-,-,-,-,-,77
2008,69,70,71,70,75,73,76,75,77,76,-,-,-,-,-,-,-,78
2009,70,69,69,73,77,76,75,75,76,74,-,-,-,-,-,-,-,78
2010,67,75,74,74,77,77,80,78,78,78,-,-,-,-,-,-,-,75
2011,72,75,75,76,77,77,79,80,80,81,-,-,-,-,-,-,-,79
2012,73,75,75,77,77,78,83,82,76,78,79,-,-,-,82,-,-,80
2013,73,81,76,74,81,79,82,82,80,80,80,-,-,-,83,-,-,80
2014,71,74,76,72,80,78,82,80,76,82,75,-,-,-,78,-,-,80
2015,67,73,72,72,75,73,78,74,74,78,78,86,83,80,77,74,72,77
2016,69,78,76,75,78,76,82,81,75,77,80,87,78,81,80,80,74,79
2017,69,78,77,76,78,76,82,78,77,76,79,87,79,82,81,80,75,79
2018,69,77,76,74,79,77,80,77,78,80,78,87,79,81,80,79,74,80
2019,69,78,76,75,79,77,80,77,79,80,78,86,80,81,79,80,75,79
