Unnamed: 0,2011,2012,2013,2014,2015,2016,2017,2018*
Components,-,-,-,-,-,1.74,-,-
Devices,9.65,9.03,7.71,7.98,8.28,-,-,-
Corporate and elimination,-,-,-,-,-,-,-2.69,-2.44
All other,-,-,-,-,-,-,3.67,3.12
Financial Services,8.2,10.72,9.65,9.03,9.5,9.71,11.08,11.56
Semiconductors,-,-,-,-,-,6.9,7.66,7.93
Mobile Communications,5.85,13.38,15.83,11.03,9.98,6.78,6.53,4.49
Imaging Products & Solutions,7.16,7.77,7.2,6,6.29,5.18,5.91,6.05
Home Entertainment & Sound,12.06,10.58,11.35,10.06,10.26,9.28,11.03,10.42
Pictures,6.18,7.8,8.05,7.32,8.3,8.06,9.12,8.9
Music,4.16,4.7,4.89,4.54,5.47,5.78,7.21,7.28
Game & Network Services,7.57,7.52,9.51,11.57,13.73,14.73,17.53,20.84
