Unnamed: 0,Percentage change 2018 vs. 2017,Brand value (in billion U.S. dollars)
Apple,9,234.24
Google,8,167.71
Amazon,24,124.26
Microsoft,17,108.85
Coca-Cola,-4,63.37
Samsung,2,61.1
Toyota,5,56.25
Mercendes-Benz,5,50.83
McDonald's,4,45.36
Disney,11,44.35
BMW,1,41.44
IBM,-6,40.38
Intel,-7,40.2
Facebook,-12,39.86
Cisco,3,35.56
Nike,7,32.38
Louis Vuitton,14,32.22
Oracle,1,26.29
General Electric,-22,25.57
SAP,10,25.09
Honda,3,24.42
Chanel*,11,22.13
American Express,13,21.63
Pepsi,-1,20.49
J.P. Morgan,8,19.04
IKEA,5,18.41
UPS,7,18.07
Hermes Paris,9,17.92
Zara,-3,17.18
H&M,-3,16.35
Accenture,14,16.2
Budweiser,3,16.02
Gucci,23,15.95
Pampers,-5,15.77
Ford,2,14.33
Hyundai,5,14.16
Gillette,-18,13.75
Nescafe,4,13.61
Adobe,20,12.94
Volkswagen,6,12.92
Citi,10,12.7
Audi,4,12.69
Allianz,12,12.08
eBay,-8,12.01
Adidas,11,11.99
AXA,6,11.83
HSBC,5,11.82
Starbucks,23,11.8
Philips,-4,11.66
Porsche,9,11.65
L'Oréal,4,11.59
Nissan,-6,11.5
Goldman Sachs,-4,11.35
HP,4,10.89
Visa,19,10.76
Sony,13,10.51
Kellogg's,-2,10.42
Siemens,1,10.26
Danone,4,9.91
Nestle,7,9.53
Canon,-9,9.48
Mastercard,25,9.43
Dell Technologies*,-,9.09
3M,-1,9.04
Netflix,10,8.96
Colgate,2,8.82
Santander,13,8.52
Cartier,7,8.19
Morgan Stanley,-7,8.19
Salesforce,24,8.0
Hewlett Packard Enterprise,-3,7.91
PayPal,15,7.6
FedEx,2,7.0
Huawei,-9,6.89
Lego,5,6.88
Caterpillar,19,6.79
Ferrari,12,6.46
KIA,-7,6.43
Corona,15,6.37
Jack Daniel's,13,6.35
Panasonic,-2,6.19
Dior,16,6.05
DHL,2,5.99
John Deere,9,5.88
Land Rover,-6,5.86
Johnson & Johnson,-8,5.72
Uber*,-,5.71
Heineken,4,5.63
Nintendo,18,5.55
Mini,5,5.53
Discovery,-4,5.53
Spotify,7,5.53
KFC,1,5.51
Tiffany & Co,-5,5.34
Hennessy,12,5.3
Burberry,4,5.21
Shell,-3,5.11
LinkedIn*,-,4.84
Harley-Davidson,-7,4.79
Prada,-1,4.78
