Occupation,Men's earnings,Women's earnings
Driver/sales workers and truck drivers,829,559
"Managers, all other",1628,1341
Construction laborers *,717,-
First-line supervisors of retail sales workers,911,672
"Software developers, applications and systems software",1894,1644
"Laborers and freight, stock, and material movers, hand",620,541
Janitors and building cleaners,607,491
Retail salespersons,764,543
Carpenters *,759,-
"Sales representatives, wholesale and manufacturing",1239,1009
Cooks,518,437
Grounds maintenance workers *,576,-
Chief executives,2488,1736
Electricians *,966,-
"Production workers, all other",725,566
Automotive service technicians and mechanics*,802,-
Customer service representatives,689,680
General and operations managers,1427,1139
Accountants and auditors,1404,1108
First-line supervisors of production and operating workers,1050,745
