Unnamed: 0,18 to 34,35 to 54,55+
"Documentaries / docu-series (e.g., The Real World, Keeping up with the Kardashians, The Hills, etc.)",32%,23%,12%
"Competition / elimination (e.g., Dancing with the Stars, America's Got Talent, etc.)",31%,25%,25%
"Makeover / renovation (e.g., Extreme Makeover, What Not to Wear, etc.)",24%,17%,11%
"Dating (e.g., The Bachelor / Bachelorette, etc.)",16%,9%,4%
"Hidden camera / amateur content (e.g., Impractical Jokers, America's Funniest Home Videos, etc.)",22%,18%,12%
"Supernatural (e.g., Ghost Hunters, Paranormal State, etc.)",25%,22%,8%
"Travel / aspirational (e.g., Lifestyles of the Rich and Famous, MTV Cribs, etc.)",22%,12%,7%
"Cooking (e.g., MasterChef, Chopped, etc.)",43%,41%,22%
Other,14%,19%,18%
Don't know,4%,1%,1%
Not applicable - I do not typically watch reality TV,18%,23%,39%
