Unnamed: 0,Public,Private
2028*,15.2,11.4
2027*,15.3,11.5
2026*,15.3,11.6
2025*,15.4,11.6
2024*,15.5,11.7
2023*,15.6,11.7
2022*,15.7,11.7
2021*,15.8,11.8
2020*,15.8,11.8
2019*,15.9,11.8
2018*,16.0,11.9
2017*,16.1,11.9
2016,16.0,11.9
2015,16.0,11.9
2014,16.1,12.1
2013,16.1,12.2
2012,16.0,13.1
2011,16.0,13.0
2010,16.0,13.0
2009,15.4,12.5
2008,15.3,12.8
2007,15.4,13.0
2006,15.6,13.2
2005,15.6,13.5
2004,15.8,13.7
2003,15.9,13.8
2002,15.9,14.1
2001,15.9,14.3
2000,16.0,14.5
1999,16.1,14.7
1998,16.4,15.0
1997,16.8,15.2
1996,17.1,15.5
1995,17.3,15.7
1994,17.3,16.2
1993,17.4,16.7
1992,17.4,16.1
1991,17.3,15.6
1990,17.2,15.6
1989,17.2,15.7
1988,17.3,15.2
1987,17.6,15.6
1986,17.7,15.7
1985,17.9,16.2
1984,18.1,16.8
1983,18.4,17.0
1982,18.6,17.2
1981,18.8,17.6
1980,18.7,17.7
1979,19.1,18.1
1978,19.3,18.7
1977,19.7,18.4
1976,20.2,19.3
1975,20.4,19.6
1974,20.8,20.4
1973,21.3,21.2
1972,21.7,21.6
1971,22.3,22.6
1970,22.3,23.0
1965,24.7,28.3
1960,25.8,30.7
1955,26.9,31.7
