Unnamed: 0,Basketball,Track and Field - Outdoor,Volleyball,Softball - Fast Pitch,Cross Country,Soccer,Tennis,Golf,Swimming and Diving,Competitive Spirit Squads
2009/10,17711,15923,15382,15298,13809,10901,10166,9651,7171,4879
2010/11,17767,16030,15479,15338,13839,11047,10181,9609,7164,4266
2011/12,17768,16143,15569,14142,13970,11127,10058,9667,7221,4916
2012/13,17493,15962,15565,15067,13918,11351,10005,9568,7249,4847
2013/14,17754,16217,15672,15225,14267,11354,10117,9815,7429,4919
2014/15,17653,16309,15534,15115,14287,11502,10099,9824,7526,5358
2015/16,17890,16508,15755,13304,14698,11676,10122,10046,7559,5432
2016/17,17934,16658,15992,15440,14880,11823,10121,10076,7721,6541
2017/18,18171,16951,16434,15544,15216,12007,10289,10289,7961,6877
2018/19,18210,17012,16572,15877,15435,12107,10290,10402,8007,7214
