Unnamed: 0,Total,Small,Large,Unknown
Accomodation,87,38,9,40
Administrative,90,13,23,54
Agriculture,4,2,0,2
Construction,31,11,13,7
Education,382,24,11,347
Entertainment,6299,6,6,6287
Finance,927,50,64,813
Healthcare,466,45,40,381
Information,1094,30,37,1027
Management,4,1,3,0
Manufacturing,352,27,220,105
Mining,28,3,6,19
Other Services,78,14,5,59
Professional,670,54,17,599
Public,23399,30,22930,439
Real Estate,22,9,5,8
Retail,234,58,31,145
Trade,34,5,16,13
Transportation,112,6,23,83
Utilities,23,3,7,13
Unknown,7350,0,3558,3792
Total,41686,429,27024,14233
