Country,Number of H&M store openings
Total,375
Franchise,28
USA,28
China,21
Japan,15
UK,13
Sweden,12
Germany,11
Italy,10
Russia,10
France,10
South Korea,8
India,8
Mexico,7
Philippines,6
Netherlands,6
Belgium,6
Canada,5
Australia,5
Finland,5
Luxembourg,5
Poland,4
New Zealand,4
Spain,4
South Africa,4
Norway,3
Iceland,3
Switzerland,3
Colombia,3
Kazakhstan,3
Austria,3
Belarus,2
Uruguay,2
Malaysia,2
Chile,2
Peru,2
Hong Kong,2
Vietnam,2
Singapore,2
Slovakia,2
Latvia,1
Lithuania,1
Denmark,1
Georgia,1
Bosnia-Herzegovina,1
Turkey,1
Romania,1
Estonia,1
Serbia,1
Ukraine,1
Portugal,0
Greece,0
Puerto Rico,0
Slovenia,0
Hungary,0
Taiwan,0
Bulgaria,0
Cyprus,0
Macau,0
Croatia,0
Ireland,0
Czech Republic,0
