Month,Payroll in thousand U.S. dollars
Marco Fabian,2274.09
Alejandro Bedoya,1266.25
Sergio Santos,668.5
Haris Medunjanin,595.01
Jamiro Monteiro,569.2
Andre Blake,550.0
Kai Wagner,360.15
Ilsinho,357.0
Kacper Przybylko,277.0
Jack Elliott,265.0
Raymon Gaddis,190.0
Warren Creavalle,175.3
Aurelien Collin,175.0
Fafa Picault,173.67
Carlos Miguel Coronel,148.43
Auston Trusty,124.1
Fabinho Alves,120.0
Brenden Aaronson,95.81
Mark McKenzie,82.23
Derrick Jones,80.9
Cory Burke,79.72
Matt Freese,77.65
Olivier Mbaizo,70.88
Anthony Fontana,70.26
Matthew Real,57.23
Michee Ngalina,56.25
