State,Number of aggravated assaults
California,105412
Texas,73656
Florida,55551
New York,43171
Tennessee,31717
Michigan,31021
Illinois,30539
North Carolina,27526
Pennsylvania,24077
Arizona,23528
Georgia,22783
Missouri,22042
Alabama,18944
South Carolina,18446
Louisiana,17866
Ohio,17674
Indiana,16834
Massachusetts,16648
Maryland,16135
Colorado,14547
Washington,14251
New Mexico,13598
Oklahoma,13084
Arkansas,12378
Wisconsin,11263
New Jersey,10463
Virginia,10113
Nevada,10027
Kansas,9559
Oregon,7360
Minnesota,6857
Iowa,5931
Kentucky,5059
Mississippi,4696
Alaska,4391
Utah,4319
Connecticut,4294
District of Columbia,3971
West Virginia,3945
Nebraska,3461
Montana,3120
Idaho,2957
Delaware,2845
South Dakota,2682
Hawaii,1925
North Dakota,1560
New Hampshire,1435
Rhode Island,1366
Wyoming,870
Maine,803
Vermont,710
