Month,Number of hours
Dec '19,46.2
Nov '19,48.1
Oct '19,87.9
Sep '19,144.0
Aug '19,173.6
Jul '19,173.2
Jun '19,160.8
May '19,188.5
Apr '19,168.9
Mar '19,115.6
Feb '19,100.6
Jan '19,47.9
Dec '18,37.6
Nov '18,63.0
Oct '18,113.2
Sep '18,134.1
Aug '18,147.4
Jul '18,237.6
Jun '18,239.9
May '18,246.0
Apr '18,132.6
Mar '18,85.0
Feb '18,95.6
Jan '18,48.7
Dec '17,45.3
Nov '17,71.1
Oct '17,72.7
Sep '17,109.0
Aug '17,155.5
Jul '17,168.7
Jun '17,155.7
May '17,208.3
Apr '17,158.0
Mar '17,119.7
Feb '17,55.0
Jan '17,55.1
Dec '16,40.7
Nov '16,74.7
Oct '16,105.3
Sep '16,119.9
Aug '16,181.7
Jul '16,156.4
Jun '16,136.5
May '16,209.6
Apr '16,160.8
Mar '16,117.3
Feb '16,84.9
Jan '16,37.1
Dec '15,29.2
Nov '15,35.6
Oct '15,91.2
Sep '15,157.8
Aug '15,148.8
Jul '15,160.6
Jun '15,189.7
May '15,174.4
Apr '15,212.9
Mar '15,121.9
Feb '15,76.0
Jan '15,58.5
Dec '14,57.1
Nov '14,51.9
Oct '14,82.8
Sep '14,123.3
Aug '14,171.0
Jul '14,223.0
Jun '14,178.4
May '14,149.6
Apr '14,144.9
Mar '14,126.7
Feb '14,75.0
Jan '14,42.8
