HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.imgPath,Input.generated,Input.generated_baseline,Input.generated_untemplated,Input.gold,Input.titles,Answer.explanation1,Answer.explanation2,Answer.explanation3,Answer.explanation4,Answer.no0.0,Answer.no1.0,Answer.no2.0,Answer.option1a.1,Answer.option1b.1,Answer.option1c.1,Answer.option1d.1,Answer.option2a.2,Answer.option2b.2,Answer.option2c.2,Answer.option2d.2,Answer.option3a.3,Answer.option3b.3,Answer.option3c.3,Answer.option3d.3,Answer.option4a.4,Answer.option4b.4,Answer.option4c.4,Answer.option4d.4,Answer.option5a.5,Answer.option5b.5,Answer.option5c.5,Answer.option5d.5,Answer.other0.3,Answer.other1.3,Answer.other2.3,Answer.otherText0,Answer.otherText1,Answer.otherText2,Answer.partial0.2,Answer.partial1.2,Answer.partial2.2,Answer.yes0.1,Answer.yes1.1,Answer.yes2.1,Approve,Reject
308KJXFUJRDJMAPA7CPI6NA4OBZTAA,3EH3OJYIRZ5ZTNWNBAIXZJVBAX7YAA,Evaluate the quality of a summary for a chart,A short survey to evaluate the quality of a summary for a chart,"survey, chart, summary, evaluation, machine learning, nlp, ml, ai, artificial intelligence",$0.08 ,Wed Aug 26 09:32:24 PDT 2020,1,BatchId:4164685;OriginalHitTemplateId:928390912;,3600,604800,Wed Sep 02 09:32:24 PDT 2020,,,3ZR9AIQJUCH6RWAWQBWIYTILBE240Y,A23BGNP50WTKI2,Submitted,Wed Aug 26 12:10:35 PDT 2020,Wed Aug 26 12:11:10 PDT 2020,Wed Sep 02 12:11:10 PDT 2020,,,,35,100% (2/2),100% (2/2),100% (2/2),https://chart2text.s3.amazonaws.com/1006.png,"The statistic presents results of a survey about whether Italy adults have ever knowingly or unknowingly shared fake gay or information marriage as of 2019 . It I donÂ´t know In favor that 8 % of respondents admitted to Public a gay story marriage which they I donÂ´t know made , and 40 % of surveyed adults had shared gay which they In favor out to be false .","This bar chart has 3 categories for the x axis representing Response, and a y axis representing Share of respondents. The highest category is found at Against where Share of respondents is 52.0. The lowest category is found at I donÂ´t know where Share of respondents is 8.0.","This statistic shows the results of a survey , conducted in 2013 , among adult Americans on the frequency of having dinner at home as a family . In 2013 , 53 percent of the respondents answered that their family eat dinner together at home on 6 to 7 nights a week .","The statistic illustrates the public opinion on gay marriage among Italians in 2016 . According to the data , more than half of Italian adults were against same-sex marriage ( 52 percent ) . Italy recognized same-sex civil unions ( not marriage ) in June 2016 , granting to same-sex couples most of the rights of marriage except parenting ( stepchild or joint adoption ) .",Public opinions on gay marriage in Italy 2016,incorrect names and figures,correct,incorrect names and figures,incorrect names and figures,TRUE,TRUE,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,incorrect names and figures,incorrect names and figures,,FALSE,FALSE,,FALSE,FALSE,,,
3MJ28H2Y1EF63C8LGZC242OVXQDO5B,3QLGZJY8K0PDNCUWBI5E8U8GGDD5X6,Evaluate the quality of a summary for a chart,A short survey to evaluate the quality of a summary for a chart,"survey, chart, summary, evaluation, machine learning, nlp, ml, ai, artificial intelligence",$0.08 ,Thu Aug 27 06:57:10 PDT 2020,2,BatchId:4165678;OriginalHitTemplateId:928390912;,3600,604800,Thu Sep 03 06:57:10 PDT 2020,,,32EYX73OY1HT8OOAZU6FVTH2JOTURR,A3ANE5EOTI9W88,Submitted,Thu Aug 27 09:27:29 PDT 2020,Thu Aug 27 09:34:23 PDT 2020,Thu Sep 03 09:34:23 PDT 2020,,,,414,0% (0/0),0% (0/0),0% (0/0),https://chart2text.s3.amazonaws.com/1006.png,"The statistic presents results of a survey about whether Italy adults have ever knowingly or unknowingly shared fake gay or information marriage as of 2019 . It I donÂ´t know In favor that 8 % of respondents admitted to Public a gay story marriage which they I donÂ´t know made , and 40 % of surveyed adults had shared gay which they In favor out to be false .","This bar chart has 3 categories for the x axis representing Response, and a y axis representing Share of respondents. The highest category is found at Against where Share of respondents is 52.0. The lowest category is found at I donÂ´t know where Share of respondents is 8.0.","This statistic shows the results of a survey , conducted in 2013 , among adult Americans on the frequency of having dinner at home as a family . In 2013 , 53 percent of the respondents answered that their family eat dinner together at home on 6 to 7 nights a week .","The statistic illustrates the public opinion on gay marriage among Italians in 2016 . According to the data , more than half of Italian adults were against same-sex marriage ( 52 percent ) . Italy recognized same-sex civil unions ( not marriage ) in June 2016 , granting to same-sex couples most of the rights of marriage except parenting ( stepchild or joint adoption ) .",Public opinions on gay marriage in Italy 2016,"The summary reads like a very short paragraph, and both sentences relate to the same general topic.","Besides punctuation spacing, there do not appear to be major grammatical errors and the sentences were fluent.","Two sentences, first sentence generally summarized the chart (even if incorrectly) and second sentence provided some specific details without being repetitive.","The summary explains many details well, but is not at all related to the content of the chart and cannot inform the reader of the chart itself.",TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Respondents sounds like a survey, but the graph is for 2016 opinions on gay marriage in Italy, so not Americans and not frequency of having dinner at home.","Though there looks like a 53% does exist (partially correct fact), the graph is not at all referring to having dinner at home. The 53% points to against gay marriage in Italy.",,FALSE,TRUE,,FALSE,FALSE,,,
3MJ28H2Y1EF63C8LGZC242OVXQDO5B,3QLGZJY8K0PDNCUWBI5E8U8GGDD5X6,Evaluate the quality of a summary for a chart,A short survey to evaluate the quality of a summary for a chart,"survey, chart, summary, evaluation, machine learning, nlp, ml, ai, artificial intelligence",$0.08 ,Thu Aug 27 06:57:10 PDT 2020,2,BatchId:4165678;OriginalHitTemplateId:928390912;,3600,604800,Thu Sep 03 06:57:10 PDT 2020,,,3MH9DQ757XK2JYFWJJC3WP3VHF6GU5,AUOS916878BQE,Submitted,Thu Aug 27 07:37:22 PDT 2020,Thu Aug 27 07:39:30 PDT 2020,Thu Sep 03 07:39:30 PDT 2020,,,,128,0% (0/0),0% (0/0),0% (0/0),https://chart2text.s3.amazonaws.com/1006.png,"The statistic presents results of a survey about whether Italy adults have ever knowingly or unknowingly shared fake gay or information marriage as of 2019 . It I donÂ´t know In favor that 8 % of respondents admitted to Public a gay story marriage which they I donÂ´t know made , and 40 % of surveyed adults had shared gay which they In favor out to be false .","This bar chart has 3 categories for the x axis representing Response, and a y axis representing Share of respondents. The highest category is found at Against where Share of respondents is 52.0. The lowest category is found at I donÂ´t know where Share of respondents is 8.0.","This statistic shows the results of a survey , conducted in 2013 , among adult Americans on the frequency of having dinner at home as a family . In 2013 , 53 percent of the respondents answered that their family eat dinner together at home on 6 to 7 nights a week .","The statistic illustrates the public opinion on gay marriage among Italians in 2016 . According to the data , more than half of Italian adults were against same-sex marriage ( 52 percent ) . Italy recognized same-sex civil unions ( not marriage ) in June 2016 , granting to same-sex couples most of the rights of marriage except parenting ( stepchild or joint adoption ) .",Public opinions on gay marriage in Italy 2016,has nothing to do with the chart,grammar and wording is correct,"its concices, its just not on the correct graph",its completely wrong.,TRUE,TRUE,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"its completely wrong, it's a survey on public opinion on gay marriage in Italy in 2016","its completely wrong, it's a survey on public opinion on gay marriage in Italy in 2016",,FALSE,FALSE,,FALSE,FALSE,,,
3EKTG13IZUAW5YQUV6DWTNVNOF2MLK,3EH3OJYIRZ5ZTNWNBAIXZJVBAX7YAA,Evaluate the quality of a summary for a chart,A short survey to evaluate the quality of a summary for a chart,"survey, chart, summary, evaluation, machine learning, nlp, ml, ai, artificial intelligence",$0.08 ,Wed Aug 26 09:32:24 PDT 2020,1,BatchId:4164685;OriginalHitTemplateId:928390912;,3600,604800,Wed Sep 02 09:32:24 PDT 2020,,,36V4Q8R5ZL8AJF41DDQTZTQ3AAGMQ6,A23BGNP50WTKI2,Submitted,Wed Aug 26 13:49:37 PDT 2020,Wed Aug 26 13:50:14 PDT 2020,Wed Sep 02 13:50:14 PDT 2020,,,,37,100% (2/2),100% (2/2),100% (2/2),https://chart2text.s3.amazonaws.com/1088.png,"The statistic shows the Number Carnival of Corporation & on a free-on board ( FOB ) plant basis in the plc between 2007 and 2019 . In 2019 , the Number FOB plant Carnival for this construction material was around 12.9 US passengers millions .",This line chart has an x axis representing Year and a y axis representing Number of passengers in millions with a total of 13 data points. The chart has one significant trend. This trend is positive which exists from 2019 to 2007.,"The statistic shows the net income of Swiss-based pharmaceutical company roche from 2007 to 2019 . roche is one of the largest global pharmaceutical companies . In 2019 , roche reported approximately 14.1 billion swiss francs of net income .","This statistic shows the number of Carnival Corporation & plc passengers worldwide from 2007 to 2019 . In 2019 , the cruise company Carnival Corporation carried approximately 12.9 million passengers on its ships ..",Number of Carnival Corporation & plc passengers worldwide 2007 to 2019,incorrect explanation,correct,incorrect explanation,incorrect explanation,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,incorrect explanation,incorrect explanation,incorrect explanation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
3HEM8MA6H9JDHY3KFRDKRDOC3RWQP7,3QLGZJY8K0PDNCUWBI5E8U8GGDD5X6,Evaluate the quality of a summary for a chart,A short survey to evaluate the quality of a summary for a chart,"survey, chart, summary, evaluation, machine learning, nlp, ml, ai, artificial intelligence",$0.08 ,Thu Aug 27 06:57:10 PDT 2020,2,BatchId:4165678;OriginalHitTemplateId:928390912;,3600,604800,Thu Sep 03 06:57:10 PDT 2020,,,3PH3VY7DJM5F2JZ64BFTZK4YDK2ZW1,AQXC1EVIPJPNJ,Submitted,Thu Aug 27 07:07:14 PDT 2020,Thu Aug 27 07:15:35 PDT 2020,Thu Sep 03 07:15:35 PDT 2020,,,,501,0% (0/0),0% (0/0),0% (0/0),https://chart2text.s3.amazonaws.com/1088.png,"The statistic shows the Number Carnival of Corporation & on a free-on board ( FOB ) plant basis in the plc between 2007 and 2019 . In 2019 , the Number FOB plant Carnival for this construction material was around 12.9 US passengers millions .",This line chart has an x axis representing Year and a y axis representing Number of passengers in millions with a total of 13 data points. The chart has one significant trend. This trend is positive which exists from 2019 to 2007.,"The statistic shows the net income of Swiss-based pharmaceutical company roche from 2007 to 2019 . roche is one of the largest global pharmaceutical companies . In 2019 , roche reported approximately 14.1 billion swiss francs of net income .","This statistic shows the number of Carnival Corporation & plc passengers worldwide from 2007 to 2019 . In 2019 , the cruise company Carnival Corporation carried approximately 12.9 million passengers on its ships ..",Number of Carnival Corporation & plc passengers worldwide 2007 to 2019,It seems to flow well.,I see a lot of grammatical errors in this summary.,It doesn't give much information.,Because the summary of the chart does not support the chart that you see.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,This chart seems to be based on Carnival cruise ships.,I see no reference to Roche in this chart.,I see no reference to money in the chart.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
3HEM8MA6H9JDHY3KFRDKRDOC3RWQP7,3QLGZJY8K0PDNCUWBI5E8U8GGDD5X6,Evaluate the quality of a summary for a chart,A short survey to evaluate the quality of a summary for a chart,"survey, chart, summary, evaluation, machine learning, nlp, ml, ai, artificial intelligence",$0.08 ,Thu Aug 27 06:57:10 PDT 2020,2,BatchId:4165678;OriginalHitTemplateId:928390912;,3600,604800,Thu Sep 03 06:57:10 PDT 2020,,,3Y5140Z9DYO3NKDVSLDC7VTCOB0PI4,ARR14DRDCKGGS,Submitted,Thu Aug 27 07:15:30 PDT 2020,Thu Aug 27 07:18:30 PDT 2020,Thu Sep 03 07:18:30 PDT 2020,,,,180,0% (0/0),0% (0/0),0% (0/0),https://chart2text.s3.amazonaws.com/1088.png,"The statistic shows the Number Carnival of Corporation & on a free-on board ( FOB ) plant basis in the plc between 2007 and 2019 . In 2019 , the Number FOB plant Carnival for this construction material was around 12.9 US passengers millions .",This line chart has an x axis representing Year and a y axis representing Number of passengers in millions with a total of 13 data points. The chart has one significant trend. This trend is positive which exists from 2019 to 2007.,"The statistic shows the net income of Swiss-based pharmaceutical company roche from 2007 to 2019 . roche is one of the largest global pharmaceutical companies . In 2019 , roche reported approximately 14.1 billion swiss francs of net income .","This statistic shows the number of Carnival Corporation & plc passengers worldwide from 2007 to 2019 . In 2019 , the cruise company Carnival Corporation carried approximately 12.9 million passengers on its ships ..",Number of Carnival Corporation & plc passengers worldwide 2007 to 2019,More summary are to be contributed neturally.,It should be grammatically earned for the year.,It must be concise,In this chart will be budgeted correctly,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,In this year maintain income over,Many supported to the roche,14.1 billion swiss francs are the fact,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,
36FFXPMST9VIJ5SGH1DBTZRL2Y8OHU,3EH3OJYIRZ5ZTNWNBAIXZJVBAX7YAA,Evaluate the quality of a summary for a chart,A short survey to evaluate the quality of a summary for a chart,"survey, chart, summary, evaluation, machine learning, nlp, ml, ai, artificial intelligence",$0.08 ,Wed Aug 26 09:32:24 PDT 2020,1,BatchId:4164685;OriginalHitTemplateId:928390912;,3600,604800,Wed Sep 02 09:32:24 PDT 2020,,,33C7UALJVM67HMIGYXQVTAH0IS0818,A23BGNP50WTKI2,Submitted,Wed Aug 26 11:58:57 PDT 2020,Wed Aug 26 12:06:45 PDT 2020,Wed Sep 02 12:06:45 PDT 2020,,,,468,100% (2/2),100% (2/2),100% (2/2),https://chart2text.s3.amazonaws.com/1198.png,This graph depicts the annual National Hockey League Revenue of the Edmonton Oilers from the 2005/06 season to the 2018/19 season . The Revenue of the Edmonton Oilers amounted to 154 million U.S. dollars in the 2018/19 season .,"This line chart has an x axis representing Year and a y axis representing Revenue in million U.S. dollars, with a total of 14 data points. The chart has 5 significant trends. The longest trend is slightly positive which exists from 2012/13 to 2008/09. Additionally, the next significant trend is slightly positive which exists from 2008/09 to 2005/06. Additionally, the next significant trend is slightly negative which exists from 2018/19 to 2016/17. Contrarily, the next significant trend is extremely negative which exists from 2016/17 to 2014/15. On the contrary, the next significant trend is extremely positive which exists from 2014/15 to 2012/13.",The statistic shows the revenue of the montreal canadiens from the 2005/06 season to the 2018/19 season . The revenue of the montreal canadiens amounted to 243 million u.s. dollars in the 2018/19 season .,This graph depicts the annual National Hockey League revenue of the Edmonton Oilers from the 2005/06 season to the 2018/19 season . The revenue of the Edmonton Oilers amounted to 154 million U.S. dollars in the 2018/19 season .,Edmonton Oilers ' revenue 2005 to 2019,incorrect figures and names,correct,incorrect figures and names,incorrect figures and names,TRUE,TRUE,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,incorrect figures and names,incorrect figures and names,,FALSE,FALSE,,FALSE,FALSE,,,
3BAKUKE49HJAC7ZI74RUV7GJWXT1RG,3QLGZJY8K0PDNCUWBI5E8U8GGDD5X6,Evaluate the quality of a summary for a chart,A short survey to evaluate the quality of a summary for a chart,"survey, chart, summary, evaluation, machine learning, nlp, ml, ai, artificial intelligence",$0.08 ,Thu Aug 27 06:57:10 PDT 2020,2,BatchId:4165678;OriginalHitTemplateId:928390912;,3600,604800,Thu Sep 03 06:57:10 PDT 2020,,,39L1G8WVWRZLGPCAMGVZ2T9P2DE13T,A23BGNP50WTKI2,Submitted,Thu Aug 27 08:21:20 PDT 2020,Thu Aug 27 08:22:11 PDT 2020,Thu Sep 03 08:22:11 PDT 2020,,,,51,100% (95/95),100% (95/95),100% (95/95),https://chart2text.s3.amazonaws.com/1198.png,This graph depicts the annual National Hockey League Revenue of the Edmonton Oilers from the 2005/06 season to the 2018/19 season . The Revenue of the Edmonton Oilers amounted to 154 million U.S. dollars in the 2018/19 season .,"This line chart has an x axis representing Year and a y axis representing Revenue in million U.S. dollars, with a total of 14 data points. The chart has 5 significant trends. The longest trend is slightly positive which exists from 2012/13 to 2008/09. Additionally, the next significant trend is slightly positive which exists from 2008/09 to 2005/06. Additionally, the next significant trend is slightly negative which exists from 2018/19 to 2016/17. Contrarily, the next significant trend is extremely negative which exists from 2016/17 to 2014/15. On the contrary, the next significant trend is extremely positive which exists from 2014/15 to 2012/13.",The statistic shows the revenue of the montreal canadiens from the 2005/06 season to the 2018/19 season . The revenue of the montreal canadiens amounted to 243 million u.s. dollars in the 2018/19 season .,This graph depicts the annual National Hockey League revenue of the Edmonton Oilers from the 2005/06 season to the 2018/19 season . The revenue of the Edmonton Oilers amounted to 154 million U.S. dollars in the 2018/19 season .,Edmonton Oilers ' revenue 2005 to 2019,incorrect explanation and figures,correct,incorrect explanation and figures,incorrect explanation and figures,TRUE,TRUE,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,incorrect explanation and figures,incorrect explanation and figures,,FALSE,FALSE,,FALSE,FALSE,,,
3BAKUKE49HJAC7ZI74RUV7GJWXT1RG,3QLGZJY8K0PDNCUWBI5E8U8GGDD5X6,Evaluate the quality of a summary for a chart,A short survey to evaluate the quality of a summary for a chart,"survey, chart, summary, evaluation, machine learning, nlp, ml, ai, artificial intelligence",$0.08 ,Thu Aug 27 06:57:10 PDT 2020,2,BatchId:4165678;OriginalHitTemplateId:928390912;,3600,604800,Thu Sep 03 06:57:10 PDT 2020,,,3OE22WJIGJWTWN9AMFHFQ37XN2IUQH,A13F3KCFKH3IQA,Submitted,Thu Aug 27 07:51:10 PDT 2020,Thu Aug 27 07:53:15 PDT 2020,Thu Sep 03 07:53:15 PDT 2020,,,,125,0% (0/0),0% (0/0),0% (0/0),https://chart2text.s3.amazonaws.com/1198.png,This graph depicts the annual National Hockey League Revenue of the Edmonton Oilers from the 2005/06 season to the 2018/19 season . The Revenue of the Edmonton Oilers amounted to 154 million U.S. dollars in the 2018/19 season .,"This line chart has an x axis representing Year and a y axis representing Revenue in million U.S. dollars, with a total of 14 data points. The chart has 5 significant trends. The longest trend is slightly positive which exists from 2012/13 to 2008/09. Additionally, the next significant trend is slightly positive which exists from 2008/09 to 2005/06. Additionally, the next significant trend is slightly negative which exists from 2018/19 to 2016/17. Contrarily, the next significant trend is extremely negative which exists from 2016/17 to 2014/15. On the contrary, the next significant trend is extremely positive which exists from 2014/15 to 2012/13.",The statistic shows the revenue of the montreal canadiens from the 2005/06 season to the 2018/19 season . The revenue of the montreal canadiens amounted to 243 million u.s. dollars in the 2018/19 season .,This graph depicts the annual National Hockey League revenue of the Edmonton Oilers from the 2005/06 season to the 2018/19 season . The revenue of the Edmonton Oilers amounted to 154 million U.S. dollars in the 2018/19 season .,Edmonton Oilers ' revenue 2005 to 2019,IT IS COHERENT,IT IS READ AND UNDERSTAND WITHOUT GRAMMAR,IT IS CONCISE,IT IS INFORMATIVE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,IT IS CORRECT,YES IT IS CORRECT,,FALSE,FALSE,,TRUE,TRUE,,,
3ICOHX7ENCILWE9VPF3UIVYQCF0E0E,3EH3OJYIRZ5ZTNWNBAIXZJVBAX7YAA,Evaluate the quality of a summary for a chart,A short survey to evaluate the quality of a summary for a chart,"survey, chart, summary, evaluation, machine learning, nlp, ml, ai, artificial intelligence",$0.08 ,Wed Aug 26 09:32:23 PDT 2020,1,BatchId:4164685;OriginalHitTemplateId:928390912;,3600,604800,Wed Sep 02 09:32:23 PDT 2020,,,37XITHEISXHXMU7AD3LF1NVWCI9RCP,A23BGNP50WTKI2,Submitted,Wed Aug 26 13:31:50 PDT 2020,Wed Aug 26 13:32:40 PDT 2020,Wed Sep 02 13:32:40 PDT 2020,,,,50,100% (2/2),100% (2/2),100% (2/2),https://chart2text.s3.amazonaws.com/180.png,"This statistic shows the Share of adults in the ownership adults were using 2008 2019 . During the 2019 survey period , 73 % of respondents stated that they had adults accessed January 2018 , either via desktop or mobile internet connection .","This bar chart has 9 categories for the x axis representing Month, and a y axis representing Share of U.S. adults. The highest category is found at November 2016 where Share of U.S. adults is 78.0. The lowest category is found at January 2018 where Share of U.S. adults is 73.0.","This statistic shows the share of adults in the united who were ever using selected social networks . During the 2019 survey period , 69 percent of respondents stated that they had ever accessed facebook , either via desktop or mobile internet connection .","The statistic shows the penetration rate of desktop and laptop computers among adults in the United States between 2008 and 2019 . As of February 2019 , 74 percent of Americans owned a desktop or laptop computer .",Desktop/laptop ownership among U.S. adults 2008 to 2019,incorrect explanation,correct,incorrect explanation,incorrect explanation,TRUE,TRUE,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,incorrect explanation,incorrect explanation,,FALSE,FALSE,,FALSE,FALSE,,,
