Month,Number of players in thousands
January 2020,645.41
December 2019,686.24
November 2019,695.92
October 2019,637.87
September 2019,660.86
August 2019,750.94
July 2019,745.22
June 2019,745.96
May 2019,817.6
April 2019,886.26
March 2019,931.41
February 2019,931.75
January 2019,1084.61
December 2018,1109.77
November 2018,895.65
October 2018,1048.66
September 2018,1125.23
August 2018,1260.89
July 2018,1350.46
June 2018,1750.22
May 2018,2175.7
April 2018,2456.36
March 2018,2799.27
February 2018,2934.76
January 2018,3236.03
December 2017,3080.77
November 2017,2915.72
October 2017,2390.95
September 2017,1550.46
August 2017,874.17
July 2017,481.29
June 2017,267.19
May 2017,189.46
April 2017,140.1
