American Baseball Teams,Total payroll in million U.S. dollars
Boston Red Sox,213.19
Chicago Cubs,208.2
New York Yankees,206.41
Washington Nationals,181.4
Houston Astros,177.44
Philadelphia Phillies,172.37
Los Angeles Angels,167.46
New York Mets,161.87
Los Angeles Dodgers,152.86
St. Louis Cardinals,150.37
Colorado Rockies,149.34
San Francisco Giants,138.03
Seattle Mariners,135.8
Milwaukee Brewers,130.39
Cincinnati Reds,128.82
Minnesota Twins,113.59
Atlanta Braves,110.53
Arizona Diamondbacks,107.58
Cleveland Indians,107.35
Texas Rangers,102.46
Oakland Athletics,96.83
Chicago White Sox,96.7
Detroit Tigers,96.24
San Diego Padres,94.43
Kansas City Royals,83.08
Tampa Bay Rays,68.98
Baltimore Orioles,67.37
Toronto Blue Jays,66.63
Pittsburgh Pirates,65.92
Miami Marlins,62.91
